,Re,LbyD,theta,Cdp,Cdv,Cd,Clp,Clv,Cl,Cdp_ref,Cdv_ref,Cd_ref,Clp_ref,Clv_ref,Cl_ref
40,20,3,-150,0.7341766595247343,1.3240290701746482,2.0582057296993823,0.11037586289354653,0.011019378963864939,0.12139524185741148,1.0167759961973377,1.7394744012262846,2.7562503974236225,0.06543165287998554,-0.021217900393239116,0.04421375248674642
41,20,3,-135,0.856224309324868,1.481745252580993,2.337969561905861,0.12811208975170732,0.0312515373015701,0.15936362705327742,1.0167759961973377,1.7394744012262846,2.7562503974236225,0.06543165287998554,-0.021217900393239116,0.04421375248674642
42,20,3,-120,0.9412015897800375,1.5822929794287288,2.5234945692087662,0.14318597272182693,0.0539469048625199,0.1971328775843468,1.0167759961973377,1.7394744012262846,2.7562503974236225,0.06543165287998554,-0.021217900393239116,0.04421375248674642
43,20,3,-105,1.0040346880731732,1.6372587305749458,2.641293418648119,0.16505513514219808,0.07510852806788172,0.24016366321007981,1.0167759961973377,1.7394744012262846,2.7562503974236225,0.06543165287998554,-0.021217900393239116,0.04421375248674642
44,20,3,-90,1.042578195571396,1.6833118049080167,2.725890000479412,0.19389401083044952,0.09581598672763651,0.289709997558086,1.0167759961973377,1.7394744012262846,2.7562503974236225,0.06543165287998554,-0.021217900393239116,0.04421375248674642
45,20,3,-75,1.051914861152939,1.69719011594563,2.7491049770985687,0.2209605370724296,0.11167889624362849,0.33263943331605805,1.0167759961973377,1.7394744012262846,2.7562503974236225,0.06543165287998554,-0.021217900393239116,0.04421375248674642
46,20,3,-60,1.0351030062042559,1.6912822844580588,2.7263852906623147,0.23456892132655904,0.11658379694181176,0.3511527182683708,1.0167759961973377,1.7394744012262846,2.7562503974236225,0.06543165287998554,-0.021217900393239116,0.04421375248674642
47,20,3,-45,0.9984031495668095,1.6697008741747976,2.668104023741607,0.22470513457349572,0.10381740599861569,0.32852254057211144,1.0167759961973377,1.7394744012262846,2.7562503974236225,0.06543165287998554,-0.021217900393239116,0.04421375248674642
48,20,3,-30,0.9549831346122509,1.6430137733171486,2.5979969079294,0.1873317342168845,0.07153288945440198,0.25886462367128643,1.0167759961973377,1.7394744012262846,2.7562503974236225,0.06543165287998554,-0.021217900393239116,0.04421375248674642
49,20,3,-15,0.9129573169591774,1.6155372639417638,2.5284945809009414,0.1228378222615964,0.020104707059277166,0.14294252932087356,1.0167759961973377,1.7394744012262846,2.7562503974236225,0.06543165287998554,-0.021217900393239116,0.04421375248674642
50,20,4,0,0.8709544176179091,1.5829041344102017,2.4538585520281107,0.01771712826498979,-0.047328096413168624,-0.02961096814817884,1.0098877702603206,1.728944710191325,2.738832480451645,0.04642129520940825,-0.020731522887150286,0.025689772322257963
51,20,4,180,0.42844383356383753,0.9303841466079676,1.358827980171805,0.0599646169228017,0.03283595659103853,0.09280057351384023,1.0098877702603206,1.728944710191325,2.738832480451645,0.04642129520940825,-0.020731522887150286,0.025689772322257963
52,20,4,-180,0.42844383356383753,0.9303841466079676,1.358827980171805,0.0599646169228017,0.03283595659103853,0.09280057351384023,1.0098877702603206,1.728944710191325,2.738832480451645,0.04642129520940825,-0.020731522887150286,0.025689772322257963
53,20,4,15,0.8651318931798353,1.5694969220041404,2.4346288151839754,-0.09494916524558081,-0.13854883429990147,-0.2334979995454823,1.0098877702603206,1.728944710191325,2.738832480451645,0.04642129520940825,-0.020731522887150286,0.025689772322257963
54,20,4,30,0.9093858800361952,1.611119122721533,2.5205050027577283,-0.20586882874868373,-0.23810725402137806,-0.4439760827700618,1.0098877702603206,1.728944710191325,2.738832480451645,0.04642129520940825,-0.020731522887150286,0.025689772322257963
55,20,4,45,1.0067746995734432,1.687195185519459,2.693969885092902,-0.27542845155665513,-0.30985048264857024,-0.5852789342052254,1.0098877702603206,1.728944710191325,2.738832480451645,0.04642129520940825,-0.020731522887150286,0.025689772322257963
56,20,4,60,1.1129501452089083,1.7758508550193681,2.8888010002282765,-0.27834544335364336,-0.3339961973749279,-0.6123416407285712,1.0098877702603206,1.728944710191325,2.738832480451645,0.04642129520940825,-0.020731522887150286,0.025689772322257963
57,20,4,75,1.1750243927333817,1.823457281597016,2.9984816743303977,-0.22372728660313912,-0.3068239922507348,-0.530551278853874,1.0098877702603206,1.728944710191325,2.738832480451645,0.04642129520940825,-0.020731522887150286,0.025689772322257963
58,20,4,90,1.1652331806343683,1.830332775138586,2.995565955772954,-0.14487683483723524,-0.24928247750551857,-0.3941593123427538,1.0098877702603206,1.728944710191325,2.738832480451645,0.04642129520940825,-0.020731522887150286,0.025689772322257963
59,20,4,105,1.0860516865868333,1.755415360326369,2.8414670469132024,-0.07365537977547548,-0.16907729886401648,-0.24273267863949194,1.0098877702603206,1.728944710191325,2.738832480451645,0.04642129520940825,-0.020731522887150286,0.025689772322257963
60,20,4,120,0.9606401379095093,1.6449363650296989,2.605576502939208,-0.019620494060414388,-0.07977176790047426,-0.09939226196088864,1.0098877702603206,1.728944710191325,2.738832480451645,0.04642129520940825,-0.020731522887150286,0.025689772322257963
61,20,4,135,0.7924719320804336,1.4385824320144711,2.2310543640949048,0.02459453166587677,0.010274610224567552,0.03486914189044432,1.0098877702603206,1.728944710191325,2.738832480451645,0.04642129520940825,-0.020731522887150286,0.025689772322257963
